tryNum,worker_0,worker_1,worker_2,worker_3,worker_4,worker_5,worker_6,worker_7,worker_8,worker_9,worker_10,worker_11,worker_12,worker_13,worker_14,worker_15,worker_16,worker_17,worker_18,worker_19,worker_20,worker_21,worker_22,worker_23,worker_24,worker_25,worker_26,worker_27,worker_28,worker_29,worker_30,worker_31,worker_32,worker_33,worker_34,worker_35,worker_36,worker_37,worker_38,worker_39,worker_40,worker_41,worker_42,worker_43,worker_44,worker_45,worker_46,worker_47,worker_48,worker_49
1,-96.92307692307692,-97.72727272727273,-92.85714285714286,-97.97979797979798,-94.44444444444444,-50,-93.33333333333333,-88.23529411764706,-93.75,-97.22222222222221,-96.42857142857143,-97.36842105263158,-94.73684210526315,-95.74468085106383,-95.65217391304348,-91.66666666666666,-96.42857142857143,-97.5,-93.93939393939394,-96.72131147540983,-97.6470588235294,-97.14285714285714,-96.22641509433963,-71.42857142857143,-97.40259740259741,-96.66666666666667,-97.2972972972973,-95.45454545454545,-95.1219512195122,-94.11764705882352,-96.22641509433963,-96.15384615384616,-97.8021978021978,-97.53086419753086,-91.30434782608695,-96.15384615384616,-87.5,-92.3076923076923,-94.11764705882352,-95,-92,-97.95918367346938,-97.9381443298969,-97.72727272727273,-75,-33.33333333333333,-97.05882352941177,-92.85714285714286,-90.47619047619048,-75
2,-95.38461538461539,-96.5909090909091,-89.28571428571429,-96.96969696969697,-91.66666666666666,-25,-90,-82.35294117647058,-90.625,-95.83333333333334,-94.64285714285714,-96.05263157894737,-92.10526315789474,-93.61702127659575,-93.47826086956522,-87.5,-94.64285714285714,-96.25,-90.9090909090909,-95.08196721311475,-96.47058823529412,-95.71428571428572,-94.33962264150944,-57.14285714285714,-96.1038961038961,-95,-95.94594594594594,-93.18181818181817,-92.6829268292683,-91.17647058823529,-94.33962264150944,-94.23076923076923,-96.7032967032967,-96.29629629629629,-86.95652173913044,-94.23076923076923,-81.25,-88.46153846153845,-91.17647058823529,-92.5,-88,-96.93877551020408,-96.90721649484536,-96.5909090909091,-62.5,0,-95.58823529411765,-89.28571428571429,-85.71428571428571,-62.5
3,-93.84615384615384,-95.45454545454545,-85.71428571428571,-95.95959595959596,-88.88888888888889,0,-86.66666666666667,-76.47058823529412,-87.5,-94.44444444444444,-92.85714285714286,-94.73684210526315,-89.47368421052632,-91.48936170212765,-91.30434782608695,-83.33333333333334,-92.85714285714286,-95,-87.87878787878788,-93.44262295081968,-95.29411764705881,-94.28571428571428,-92.45283018867924,-42.857142857142854,-94.8051948051948,-93.33333333333333,-94.5945945945946,-90.9090909090909,-90.2439024390244,-88.23529411764706,-92.45283018867924,-92.3076923076923,-95.6043956043956,-95.06172839506173,-82.6086956521739,-92.3076923076923,-75,-84.61538461538461,-88.23529411764706,-90,-84,-95.91836734693877,-95.87628865979381,-95.45454545454545,-50,33.33333333333333,-94.11764705882352,-85.71428571428571,-80.95238095238095,-50
4,-92.3076923076923,-94.31818181818183,-82.14285714285714,-94.94949494949495,-86.11111111111111,25,-83.33333333333334,-70.58823529411765,-84.375,-93.05555555555556,-91.07142857142857,-93.42105263157895,-86.8421052631579,-89.36170212765957,-89.13043478260869,-79.16666666666666,-91.07142857142857,-93.75,-84.84848484848484,-91.80327868852459,-94.11764705882352,-92.85714285714286,-90.56603773584906,-28.57142857142857,-93.5064935064935,-91.66666666666666,-93.24324324324324,-88.63636363636364,-87.8048780487805,-85.29411764705883,-90.56603773584906,-90.38461538461539,-94.5054945054945,-93.82716049382715,-78.26086956521739,-90.38461538461539,-68.75,-80.76923076923077,-85.29411764705883,-87.5,-80,-94.89795918367348,-94.84536082474226,-94.31818181818183,-37.5,66.66666666666666,-92.64705882352942,-82.14285714285714,-76.19047619047619,-37.5
5,-90.76923076923077,-93.18181818181817,-78.57142857142857,-93.93939393939394,-83.33333333333334,50,-80,-64.70588235294117,-81.25,-91.66666666666666,-89.28571428571429,-92.10526315789474,-84.21052631578947,-87.2340425531915,-86.95652173913044,-75,-89.28571428571429,-92.5,-81.81818181818183,-90.1639344262295,-92.94117647058823,-91.42857142857143,-88.67924528301887,-14.285714285714285,-92.20779220779221,-90,-91.8918918918919,-86.36363636363636,-85.36585365853658,-82.35294117647058,-88.67924528301887,-88.46153846153845,-93.4065934065934,-92.5925925925926,-73.91304347826086,-88.46153846153845,-62.5,-76.92307692307693,-82.35294117647058,-85,-76,-93.87755102040816,-93.81443298969072,-93.18181818181817,-25,100,-91.17647058823529,-78.57142857142857,-80.95238095238095,-50
6,-89.23076923076924,-92.04545454545455,-75,-92.92929292929293,-80.55555555555556,75,-76.66666666666667,-58.82352941176471,-78.125,-90.27777777777779,-87.5,-90.78947368421053,-81.57894736842105,-85.1063829787234,-84.78260869565217,-70.83333333333334,-87.5,-91.25,-78.78787878787878,-88.52459016393442,-91.76470588235294,-90,-86.79245283018868,0,-90.9090909090909,-88.33333333333333,-90.54054054054053,-84.0909090909091,-82.92682926829268,-79.41176470588235,-86.79245283018868,-86.53846153846155,-92.3076923076923,-91.35802469135803,-69.56521739130434,-86.53846153846155,-56.25,-73.07692307692307,-79.41176470588235,-82.5,-72,-92.85714285714286,-92.78350515463917,-92.04545454545455,-12.5,133.33333333333331,-89.70588235294117,-75,-76.19047619047619,-37.5
7,-87.6923076923077,-90.9090909090909,-71.42857142857143,-91.91919191919192,-77.77777777777779,100,-73.33333333333333,-52.94117647058824,-75,-88.88888888888889,-85.71428571428571,-89.47368421052632,-78.94736842105263,-82.97872340425532,-82.6086956521739,-66.66666666666666,-85.71428571428571,-90,-75.75757575757575,-86.88524590163934,-90.58823529411765,-88.57142857142857,-84.90566037735849,14.285714285714285,-89.6103896103896,-86.66666666666667,-89.1891891891892,-81.81818181818183,-80.48780487804879,-76.47058823529412,-84.90566037735849,-84.61538461538461,-91.20879120879121,-90.12345679012346,-65.21739130434783,-84.61538461538461,-50,-69.23076923076923,-76.47058823529412,-80,-68,-91.83673469387756,-91.75257731958763,-90.9090909090909,0,166.66666666666669,-88.23529411764706,-71.42857142857143,-71.42857142857143,-25
8,-86.15384615384616,-89.77272727272727,-67.85714285714286,-90.9090909090909,-75,125,-70,-47.05882352941176,-71.875,-87.5,-83.92857142857143,-88.1578947368421,-76.31578947368422,-80.85106382978722,-80.43478260869566,-62.5,-83.92857142857143,-88.75,-72.72727272727273,-85.24590163934425,-89.41176470588236,-87.14285714285714,-83.01886792452831,28.57142857142857,-88.31168831168831,-85,-87.83783783783784,-79.54545454545455,-78.04878048780488,-73.52941176470588,-83.01886792452831,-82.6923076923077,-90.10989010989012,-88.88888888888889,-60.86956521739131,-82.6923076923077,-43.75,-65.38461538461539,-73.52941176470588,-77.5,-64,-90.81632653061224,-90.72164948453609,-89.77272727272727,12.5,200,-86.76470588235294,-67.85714285714286,-66.66666666666666,-12.5
9,-84.61538461538461,-88.63636363636364,-64.28571428571429,-89.8989898989899,-72.22222222222221,150,-66.66666666666666,-41.17647058823529,-68.75,-86.11111111111111,-82.14285714285714,-86.8421052631579,-73.68421052631578,-78.72340425531915,-78.26086956521739,-58.333333333333336,-82.14285714285714,-87.5,-69.6969696969697,-83.60655737704919,-88.23529411764706,-85.71428571428571,-81.13207547169812,42.857142857142854,-87.01298701298701,-83.33333333333334,-86.48648648648648,-77.27272727272727,-75.60975609756098,-70.58823529411765,-81.13207547169812,-80.76923076923077,-89.01098901098901,-87.65432098765432,-56.52173913043478,-80.76923076923077,-37.5,-61.53846153846154,-70.58823529411765,-75,-60,-89.79591836734694,-89.69072164948454,-88.63636363636364,25,233.33333333333334,-85.29411764705883,-64.28571428571429,-61.904761904761905,0
10,-83.07692307692308,-87.5,-60.71428571428571,-88.88888888888889,-69.44444444444444,175,-63.33333333333333,-35.294117647058826,-65.625,-84.72222222222221,-80.35714285714286,-85.52631578947368,-71.05263157894737,-76.59574468085107,-76.08695652173914,-54.166666666666664,-80.35714285714286,-86.25,-66.66666666666666,-81.9672131147541,-87.05882352941177,-84.28571428571429,-79.24528301886792,57.14285714285714,-85.71428571428571,-81.66666666666667,-85.13513513513513,-75,-73.17073170731707,-67.64705882352942,-79.24528301886792,-78.84615384615384,-87.91208791208791,-86.41975308641975,-52.17391304347826,-78.84615384615384,-31.25,-57.692307692307686,-67.64705882352942,-72.5,-56.00000000000001,-88.77551020408163,-88.65979381443299,-87.5,37.5,266.66666666666663,-83.82352941176471,-60.71428571428571,-57.14285714285714,-12.5
