tryNum,successRate
1,10
2,10
3,10
4,10
5,10
6,20
7,20
8,20
9,20
10,20
11,20
12,30
13,30
14,30
15,60
16,30
17,40
18,40
19,50
20,50
21,50
22,60
23,50
24,50
25,60
26,70
27,60
28,100
29,60
30,70
31,80
32,100
33,70
34,100
35,100
36,100
37,100
38,90
39,100
40,90
41,100
42,90
43,100
44,90
45,90
46,100
47,100
48,80
49,90
50,80
51,70
52,90
53,60
54,90
55,80
56,60
57,80
58,70
59,70
60,90
61,90
62,60
63,60
64,90
65,90
66,90
67,80
68,80
69,60
70,70
71,80
72,80
73,80
74,90
75,60
76,70
77,70
78,50
79,70
80,50
81,80
82,80
83,60
84,50
85,70
86,70
87,60
88,80
89,50
90,70
91,60
92,60
93,60
94,50
95,60
96,70
97,60
98,60
99,50
100,70

