tryNum,successRate
1,40
2,40
3,40
4,60
5,40
6,20
7,40
8,40
9,40
10,60
11,60
12,60
13,80
14,40
15,40
16,40
17,60
18,40
19,60
20,40
21,60
22,100
23,80
24,80
25,80
26,100
27,60
28,20
29,40
30,100
31,40
32,80
33,60
34,80
35,60
36,80
37,20
38,20
39,60
40,60
41,40
42,60
43,100
44,40
45,60
46,40
47,60
48,0
49,40
50,100
51,80
52,80
53,20
54,60
55,60
56,40
57,0
58,80
59,20
60,60
61,60
62,40
63,80
64,100
65,80
66,20
67,40
68,20
69,20
70,40
71,80
72,60
73,60
74,40
75,40
76,80
77,20
78,40
79,20
80,20
81,20
82,40
83,60
84,60
85,80
86,40
87,40
88,40
89,80
90,40
91,80
92,80
93,20
94,0
95,40
96,80
97,60
98,20
99,80
100,20

